time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
368,152,13,0,4,0
384,158,5,0,4,0
400,165,5,0,4,0
416,171,5,0,4,0
432,177,5,0,4,0
448,184,6,0,4,0
464,190,5,0,5,0
480,207,6,0,5,0
496,203,6,0,5,0
512,209,6,0,5,0
528,219,6,0,5,0
544,222,7,0,5,0
560,230,7,0,6,0
576,236,7,0,5,0
592,243,7,0,6,0
608,249,8,0,6,0
624,255,7,0,6,0
640,262,8,0,6,0
656,268,8,0,6,0
672,275,8,0,7,0
688,281,8,0,7,0
704,288,9,0,7,0
720,298,10,0,7,0
736,300,9,0,7,0
752,320,9,0,7,0
768,313,10,0,6,0
784,320,10,0,8,0
800,326,10,0,8,0
816,332,10,0,8,0
832,339,10,0,8,0
848,345,10,0,8,0
864,352,11,0,8,0
880,356,11,0,9,0
896,363,11,0,9,0
912,369,11,0,9,0
928,375,12,0,9,0
944,382,11,0,9,0
960,388,12,0,9,0
976,394,12,0,10,0
992,403,13,0,10,0
1008,412,12,0,10,0
1024,414,13,0,10,0
1040,420,13,0,10,0
1056,426,13,0,10,0
1072,433,13,0,10,0
1088,441,14,0,10,0
1104,451,14,0,11,0
1120,454,14,0,11,0
1136,461,14,0,11,0
1152,467,15,0,9,0
1168,485,14,0,11,0
1184,477,15,0,11,0
1200,484,15,0,12,0
1216,493,15,0,12,0
1232,497,15,0,12,0
1248,503,16,0,12,0
1264,511,16,0,12,0
1280,524,16,0,10,0
1296,525,16,0,13,0
1312,534,17,0,13,0
1328,548,17,0,13,0
1344,543,17,0,10,0
1360,548,17,0,13,0
1376,554,17,0,13,0
1392,564,17,0,14,0
1408,567,18,0,14,0
1424,573,18,0,14,0
1440,593,18,0,14,0
1456,586,18,0,14,0
1472,593,19,0,14,0
1488,605,19,0,14,0
1504,608,20,0,11,0
1520,615,20,0,15,0
1536,621,19,0,15,0
1552,625,19,0,15,0
1568,633,20,0,16,0
1584,637,20,0,15,0
1600,643,20,0,16,0
1616,651,20,0,16,0
1632,662,21,0,16,0
1648,666,22,0,16,0
1664,673,21,0,12,0
1680,678,21,0,16,0
1696,688,27,0,16,0
1712,690,23,0,17,0
1728,694,24,0,17,0
1744,702,25,0,17,0
1760,711,22,0,17,0
1776,721,22,0,17,0
1792,724,23,0,17,0
1808,729,22,0,17,0
1824,743,25,0,18,0
1840,739,29,0,18,0
1856,746,26,0,18,0
1872,752,26,0,18,0
1888,758,24,0,18,0
1904,779,24,0,19,0
1920,774,24,0,19,0
1936,782,24,0,19,0
1952,788,25,0,19,0
1968,794,26,0,19,0
1984,799,25,0,19,0
2000,803,25,0,19,0
2016,809,25,0,19,0
2032,818,25,0,20,0
2048,827,26,0,20,0
2064,833,26,0,20,0
2080,839,27,0,20,0
2096,848,27,0,21,0
2112,864,27,0,21,0
2128,856,26,0,21,0
2144,860,27,0,21,0
2160,869,27,0,21,0
2176,873,27,0,21,0
2192,880,27,0,21,0
2208,903,28,0,21,0
2224,892,28,0,21,0
2240,899,28,0,22,0
2256,905,28,0,22,0
2272,914,28,0,22,0
2288,931,28,0,22,0
2304,924,29,0,22,0
2320,934,29,0,23,0
2336,942,30,0,23,0
2352,948,29,0,23,0
2368,957,30,0,23,0
2384,961,30,0,23,0
2400,968,31,0,23,0
2416,982,30,0,24,0
2432,979,32,0,24,0
2448,994,32,0,24,0
2464,990,34,0,24,0
2480,1002,34,0,23,0
2496,1006,31,0,25,0
2512,1009,31,0,25,0
2528,1016,32,0,25,0
2544,1035,32,0,25,0
2560,1032,32,0,25,0
2576,1041,32,0,25,0
2592,1039,34,0,25,0
2608,1053,38,0,26,0
2624,1056,35,0,26,0
2640,1058,35,0,26,0
2656,1065,33,0,26,0
2672,1078,33,0,26,0
2688,1083,34,0,26,0
2704,1090,33,0,26,0
2720,1090,34,0,26,0
2736,1097,34,0,27,0
2752,1122,35,0,27,0
2768,1115,35,0,27,0
2784,1122,37,0,27,0
2800,1130,36,0,27,0
2816,1135,41,0,27,0
2832,1151,43,0,27,0
2848,1151,39,0,28,0
2864,1152,38,0,28,0
2880,1154,39,0,28,0
2896,1179,36,0,28,0
2912,1173,37,0,28,0
2928,1180,36,0,28,0
2944,1180,38,0,28,0
2960,1186,38,0,29,0
2976,1194,41,0,29,0
2992,1199,41,0,33,0
3008,1214,41,0,30,0
3024,1231,41,0,29,0
3040,1224,38,0,29,0
3056,1233,38,0,30,0
3072,1237,39,0,30,0
3088,1246,38,0,30,0
3104,1260,39,0,30,0
3120,1257,39,0,30,0
3136,1267,41,0,30,0
3152,1283,41,0,30,0
3168,1273,44,0,31,0
3184,1278,45,0,27,0
3200,1289,44,0,31,0
3216,1297,45,0,32,0
3232,1301,44,0,29,0
3248,1310,43,0,32,0
3264,1314,41,0,30,0
3280,1328,43,0,32,0
3296,1320,43,0,32,0
3312,1330,43,0,35,0
3328,1342,45,0,32,0
3344,1357,44,0,33,0
3360,1356,47,0,33,0
3376,1356,47,0,33,0
3392,1373,45,0,33,0
3408,1423,44,0,33,0
3424,1378,43,0,33,0
3440,1389,43,0,34,0
3456,1410,43,0,34,0
3472,1403,43,0,34,0
3488,1404,46,0,34,0
3504,1421,51,0,33,0
3520,1441,50,0,35,0
3536,1426,51,0,35,0
3552,1430,52,0,38,0
3568,1561,52,0,35,0
3584,1443,50,0,35,0
3600,1444,55,0,35,0
3616,1475,49,0,35,0
3632,1468,49,0,36,0
3648,1464,47,0,36,0
3664,1479,46,0,36,0
3680,1500,48,0,36,0
3696,1486,49,0,36,0
3712,1489,49,0,37,0
3728,1522,48,0,37,0
3744,1501,49,0,36,0
3760,1505,50,0,36,0
3776,1523,49,0,37,0
3792,1544,49,0,37,0
3808,1532,47,0,37,0
3824,1551,47,0,38,0
3840,1558,48,0,38,0
3856,1544,48,0,38,0
3872,1568,52,0,38,0
3888,1575,52,0,38,0
3904,1569,59,0,37,0
3920,1575,59,0,39,0
3936,1607,58,0,37,0
3952,1582,58,0,39,0
3968,1604,57,0,39,0
3984,1621,57,0,47,0
4000,1604,57,0,38,0
4016,1607,57,0,39,0
4032,1654,57,0,40,0
4048,1626,57,0,41,0
4064,1637,58,0,40,0
4080,1657,59,0,38,0
4096,1499,72,7,49,5
8192,3324,117,6,75,7
12288,4455,167,9,98,8
16384,5937,217,9,124,9
20480,7419,267,13,157,12
24576,8900,320,11,186,12
28672,10382,369,14,217,13
32768,11864,422,16,327,17
36864,13346,475,26,378,23
40960,14828,527,29,422,28
45056,16308,578,33,463,32
49152,17792,628,36,504,36
53248,19272,678,42,547,40
57344,20755,733,41,588,42
61440,22234,782,44,628,44
65536,23601,831,50,667,46
69632,25065,881,49,711,49
73728,26538,931,55,753,52
77824,28013,991,55,794,55
81920,29779,1036,58,826,57
86016,30960,1090,62,878,60
90112,32527,1148,63,924,64
94208,36470,1202,69,967,68
98304,35571,1253,72,1007,69
102400,37613,1311,73,1053,72
106496,38738,1359,75,1095,75
110592,40226,1416,78,1139,77
114688,42134,1458,81,1178,80
118784,43205,1510,83,1219,84
122880,44694,1564,86,1261,86
126976,46085,1603,89,1296,89
131072,47419,1656,91,1335,91
135168,49741,1710,99,1382,93
139264,50383,2236,98,1423,97
143360,52509,2565,102,1464,100
147456,54559,1872,102,1507,102
151552,54827,1938,106,1549,106
155648,56309,1973,109,1592,108
159744,57954,2042,113,1636,111
163840,60004,2091,113,1683,114
167936,61078,2137,116,1720,116
172032,63140,2193,119,1767,119
176128,63905,2838,124,2343,125
180224,66354,2296,128,1847,126
184320,67382,2347,132,1891,127
188416,68526,2394,129,1932,129
192512,69737,2432,132,1963,132
196608,71123,2486,134,2006,133
200704,73560,2540,142,2045,139
204800,74757,2563,141,2084,140
208896,77197,2629,145,2142,143
212992,77142,2672,145,2165,146
217088,79383,2716,151,2206,149
221184,80012,2764,150,2249,149
225280,82313,2818,155,2296,153
229376,84511,2890,160,2335,158
233472,85389,2953,202,2422,159
237568,86399,3004,163,2426,163
241664,87888,3056,166,2469,164
245760,89235,3091,168,2501,168
249856,90771,3161,173,2557,170
253952,96239,3214,176,2601,175
258048,93846,3261,177,2635,177
262144,95776,3305,177,2664,178
266240,96310,3345,180,2710,181
270336,98689,3407,184,2752,184
274432,102247,3458,189,2811,188
278528,101129,3502,189,2834,189
282624,102236,3564,191,2875,192
286720,104032,3617,194,2922,194
290816,106133,3673,198,2967,196
294912,109028,3740,203,3023,201
299008,109102,3774,204,3045,203
303104,109644,3822,205,3084,205
307200,111126,3857,208,3762,209
311296,115465,3968,216,3780,216
315392,114700,3999,215,3229,215
319488,116205,4029,216,3258,216
323584,117051,4071,219,3294,218
327680,119899,4136,224,3337,221
331776,122885,4205,228,3399,229
335872,121940,4233,227,3416,226
339968,123338,4285,229,3463,230
344064,127005,4363,237,3518,237
348160,127318,4414,239,3565,236
352256,128169,4440,237,3582,238
356352,128904,4494,243,3624,240
360448,131961,4549,245,4239,294
364544,132504,4620,248,3737,247
368640,133783,5182,248,3748,249
372736,135677,4649,253,3789,251
376832,138805,4734,258,3830,257
380928,138199,4787,257,3879,257
385024,139274,4835,260,3908,260
389120,142039,4880,264,3924,265
393216,144713,4961,269,4019,268
397312,144971,5016,268,4063,269
401408,146525,5089,280,4104,272
405504,149771,5093,277,4129,275
409600,148167,5162,279,4161,276
413696,150124,5215,280,4216,279
417792,153114,5278,284,4279,283
421888,153806,5343,286,4316,288
425984,154921,5396,288,4363,293
430080,159319,5429,293,4372,294
434176,158285,5472,294,4417,292
438272,158917,5521,295,4467,295
442368,160887,5577,298,4498,298
446464,165772,5651,306,4570,307
450560,163367,5674,307,4604,311
454656,169210,5728,315,4599,315
458752,166963,5779,312,4666,314
462848,167951,5835,315,4714,316
466944,169908,5916,322,4783,320
471040,172752,5940,328,4796,324
475136,172187,6514,333,4901,329
479232,177932,6075,339,4938,335
483328,175150,6124,337,4976,337
487424,176355,6189,338,5009,342
491520,182751,6233,347,5053,347
495616,179314,6279,345,5087,347
499712,182284,7779,356,5131,356
503808,184090,6367,356,5177,354
507904,183760,6419,357,5218,355
512000,186425,6473,363,5264,361
516096,188723,6555,371,5336,368
520192,189168,6611,371,5400,377
524288,194211,6631,379,5405,375
528384,192089,6723,384,5469,380
532480,194681,6744,383,6112,388
536576,197219,7695,392,5577,393
540672,196723,6855,393,5654,396
544768,200811,6859,402,5540,403
548864,198621,6926,406,5644,402
552960,201252,6982,409,5673,412
557056,203958,7073,421,5766,420
561152,204514,7503,454,6273,473
565248,208643,7148,436,5829,433
569344,206735,7741,470,6464,469
573440,209686,7812,449,6495,448
577536,212294,7842,487,6599,487
581632,211656,7855,456,6428,497
585728,215853,8429,517,6624,479
589824,214423,7863,496,6599,504
593920,218678,8055,531,6650,513
598016,217798,8091,512,6709,517
602112,221028,7591,504,6271,497
606208,221560,8210,524,6862,527
610304,223556,8267,530,6823,529
614400,227264,8665,538,6964,535
618496,225373,8316,541,7042,539
622592,229616,8461,546,7044,542
626688,229412,8538,540,7120,544
630784,232131,8496,557,7147,558
634880,231004,8424,576,7416,537
638976,234624,8088,531,6637,531
643072,233476,8682,563,7215,575
647168,305272,11602,622,7478,584
651264,252728,8728,595,7326,582
655360,241666,8814,593,7402,577
659456,241110,8883,580,7389,580
663552,243514,8882,603,7434,586
667648,243820,8878,582,8081,582
671744,245407,8965,584,7533,593
675840,245935,9042,594,8037,599
679936,250625,9038,579,7619,598
684032,249109,9265,640,7788,596
688128,252186,10698,611,7754,616
692224,252600,8973,579,7165,579
696320,254665,9392,608,7833,632
700416,255457,9357,615,7959,633
704512,259072,8944,600,7345,597
708608,258424,8881,596,7348,595
712704,262559,9549,622,8099,651
716800,263658,9614,657,8124,643
720896,264086,9727,641,8236,657
724992,265376,10046,672,9478,666
729088,266241,9741,642,8256,637
733184,268749,9254,624,7627,619
737280,269041,9312,625,7657,626
741376,273175,9371,634,7760,628
745472,270603,9994,656,8463,665
749568,277554,10531,670,8540,660
753664,274723,12069,682,8500,665
757760,279757,10374,677,8720,670
761856,280342,11116,693,8831,681
765952,280288,10371,673,8815,671
770048,284902,11355,698,8894,716
774144,283044,10524,702,8930,685
778240,288036,12038,687,9019,685
782336,286002,10712,718,9017,704
786432,288672,10763,697,9057,711
790528,290826,10028,673,8253,674
794624,289515,10855,698,9065,725
798720,294216,10917,707,9218,708
802816,293918,12466,730,9206,726
806912,296589,11293,720,9258,716
811008,296559,12106,2626,9694,716
815104,297078,11085,728,9199,715
819200,299610,10412,701,8590,700
823296,299421,10403,698,8578,695
827392,302170,10449,702,8602,701
831488,303825,10496,708,8656,705
835584,303076,10513,709,8611,707
839680,306383,10660,711,8761,715
843776,308947,11431,750,9707,748
847872,308003,10708,716,8824,717
851968,311023,11587,761,9704,753
856064,313067,11597,764,9745,753
860160,313517,10862,729,8949,729
864256,312998,10949,739,9036,1989
868352,315631,11019,736,9068,736
872448,317459,10933,740,9045,739
876544,317435,10991,741,9074,740
880640,322054,12654,779,10055,777
884736,323107,11097,753,9547,753
888832,322572,11558,751,9361,751
892928,324901,12118,806,10178,810
897024,327953,11330,772,10857,763
901120,327177,11326,762,9373,760
905216,330929,12147,793,10348,802
909312,331673,11438,776,9463,773
913408,330733,11491,772,9496,772
917504,333448,11528,778,9541,776
921600,335851,11543,779,9560,780
925696,335127,11533,782,9764,788
929792,339805,12432,818,10565,815
933888,339618,11698,796,9675,793
937984,340150,11812,797,9771,800
942080,342595,12159,817,9824,805
946176,344704,11848,808,9822,804
950272,344060,11943,815,10868,863
954368,348279,12929,846,10879,1414
958464,351455,12965,871,10907,873
962560,351492,13049,850,10963,874
966656,353366,13040,857,11208,902
970752,354699,12224,831,10120,831
974848,357110,13036,856,11100,862
978944,358558,12321,840,10229,843
983040,358252,12375,855,10254,842
987136,359504,12434,846,10306,846
991232,362485,12488,853,11161,849
995328,361692,14045,848,10384,857
999424,364244,13299,904,11250,883
1003520,367104,13595,916,11227,914
1007616,367616,13462,908,11341,910
1011712,367598,13441,907,11295,914
1015808,371093,12879,875,10622,874
1019904,370885,12861,873,11896,910
1024000,373957,13906,930,11698,925
1028096,373887,13946,900,11736,928
1032192,375944,14005,905,11781,917
1036288,378245,13133,892,10833,889
1040384,379954,14053,941,12330,941
1044480,382157,14560,899,10916,901
1048576,224409,13000,8980,11320,8980
2097152,448719,27770,17860,22540,17850
3145728,674798,39490,27070,33840,37809
4194304,909078,54810,35650,45069,35650
5242880,1124607,66180,44560,56340,44690
6291456,1342916,86390,53169,67510,53500
7340032,1568146,91079,61990,78340,62050
8388608,1797525,115000,74320,94029,75340
9437184,2014365,117270,76120,101230,80409
10485760,2231914,133120,88539,112250,88710
11534336,2472663,144510,97529,139080,97390
12582912,2682752,156930,101069,137670,102790
13631488,2915231,171710,110170,145909,110350
14680064,3135031,184490,118049,156220,118309
15728640,3360112,208650,139209,178960,141350
16777216,3604339,216720,142579,179620,141690
17825792,3806889,219459,142950,189459,143550
18874368,4031949,233069,155969,202080,153009
19922944,4241569,248620,160529,212510,160509
20971520,4490148,268869,172520,227829,172030
22020096,4711247,289019,197619,251630,199379
23068672,4966686,300459,197860,264299,198729
24117248,5178867,352369,221380,288079,219059
25165824,5410385,351569,231959,302269,224940
26214400,5627034,386960,265549,335999,261109
27262976,5788975,391029,267809,335479,257869
28311552,6041073,424729,312359,429319,328249
29360128,6287344,484869,329919,417498,326450
30408704,6473612,554379,378639,476248,372099
31457280,6724271,619739,438279,544118,339430
32505856,6932791,660638,490159,604908,457429
33554432,7158910,673848,535538,684528,568419
34603008,7415220,746818,555849,742018,580758
35651584,7607409,781297,574279,803318,645838
36700160,7866389,823788,605758,818148,637248
37748736,8041847,882168,627579,899408,704168
38797312,8281687,876998,639458,870127,679048
39845888,8490768,952277,704918,936688,741558
40894464,8741775,936297,685589,962687,790008
41943040,8997326,1004057,784018,1029067,789968
42991616,9227304,1026247,762779,1013967,825718
44040192,9477843,1060498,803077,1060227,841518
45088768,9685734,1050657,763278,1036207,835988
46137344,9886782,1113828,838598,1133737,887477
47185920,10140382,1128157,855277,1170617,901418
48234496,10322132,1172447,870737,1149667,949167
49283072,10600022,1206277,906197,1187717,935457
50331648,10804030,1173657,927037,1189438,958837
51380224,10994840,1229746,976118,1271606,982617
52428800,11256680,1214427,902497,1213957,1023847
53477376,11427019,1232157,978107,1311436,1035847
54525952,11744658,1313927,1022937,1317557,1047197
55574528,11951476,1343976,1071658,1349457,1070507
